DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
11/9/2018/ 0:0:0 |1.39688|0.01275
11/9/2018/ 0:0:1 |1.65000|0.01012
11/9/2018/ 0:0:2 |1.26563|0.01388
11/9/2018/ 0:0:3 |1.84688|0.01875
11/9/2018/ 0:0:4 |1.27500|0.01350
11/9/2018/ 0:0:5 |1.80937|0.00937
11/9/2018/ 0:0:6 |1.45312|0.01350
11/9/2018/ 0:0:7 |1.61250|0.01125
11/9/2018/ 0:0:8 |1.57500|0.01050
11/9/2018/ 0:0:9 |1.53750|0.01125
11/9/2018/ 0:0:10 |1.71562|0.01125
11/9/2018/ 0:0:11 |1.42500|0.01050
11/9/2018/ 0:0:12 |1.82812|0.01163
11/9/2018/ 0:0:13 |1.33125|0.01087
11/9/2018/ 0:0:14 |1.82812|0.00937
11/9/2018/ 0:0:15 |1.34062|0.01425
11/9/2018/ 0:0:16 |1.51875|0.00975
11/9/2018/ 0:0:17 |1.24687|0.02100
11/9/2018/ 0:0:18 |1.63125|0.00862
11/9/2018/ 0:0:19 |1.52812|0.01312
11/9/2018/ 0:0:20 |1.43437|0.01050
11/9/2018/ 0:0:21 |1.81875|0.01125
11/9/2018/ 0:0:22 |1.23750|0.01425
11/9/2018/ 0:0:23 |1.73437|0.00937
11/9/2018/ 0:0:24 |1.35000|0.01575
11/9/2018/ 0:0:25 |1.53750|0.01163
11/9/2018/ 0:0:26 |1.79062|0.00937
11/9/2018/ 0:0:27 |1.37813|0.01087
11/9/2018/ 0:0:28 |1.81875|0.01163
11/9/2018/ 0:0:29 |1.38750|0.01388
11/9/2018/ 0:0:30 |1.91250|0.01087
11/9/2018/ 0:0:31 |1.25625|0.01012
11/9/2018/ 0:0:32 |1.56563|0.01087
11/9/2018/ 0:0:33 |1.45312|0.01350
11/9/2018/ 0:0:34 |1.41562|0.01050
11/9/2018/ 0:0:35 |1.79062|0.01125
11/9/2018/ 0:0:36 |1.29375|0.01388
11/9/2018/ 0:0:37 |1.81875|0.00900
11/9/2018/ 0:0:38 |1.29375|0.01312
11/9/2018/ 0:0:39 |1.31250|0.01012
11/9/2018/ 0:0:40 |1.58438|0.01200
11/9/2018/ 0:0:41 |1.42500|0.01087
