DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
12/9/2018/ 0:0:0 |1.36875|0.01275
12/9/2018/ 0:0:1 |1.75313|0.01087
12/9/2018/ 0:0:2 |1.53750|0.01388
12/9/2018/ 0:0:3 |1.52812|0.01050
12/9/2018/ 0:0:4 |1.76250|0.01200
12/9/2018/ 0:0:5 |1.41562|0.01312
12/9/2018/ 0:0:6 |1.96875|0.01200
12/9/2018/ 0:0:7 |1.33125|0.01425
12/9/2018/ 0:0:8 |2.02500|0.01388
12/9/2018/ 0:0:9 |1.40625|0.01425
12/9/2018/ 0:0:10 |1.97812|0.01050
12/9/2018/ 0:0:11 |1.37813|0.01463
12/9/2018/ 0:0:12 |2.02500|0.01012
12/9/2018/ 0:0:13 |1.35000|0.01613
12/9/2018/ 0:0:14 |2.02500|0.01163
12/9/2018/ 0:0:15 |1.52812|0.01087
12/9/2018/ 0:0:16 |2.01562|0.01087
12/9/2018/ 0:0:17 |1.41562|0.01163
12/9/2018/ 0:0:18 |2.03437|0.01163
12/9/2018/ 0:0:19 |1.35938|0.01800
12/9/2018/ 0:0:20 |1.95000|0.01087
12/9/2018/ 0:0:21 |1.38750|0.01463
12/9/2018/ 0:0:22 |2.00625|0.00975
12/9/2018/ 0:0:23 |1.51875|0.01388
12/9/2018/ 0:0:24 |1.78125|0.01163
12/9/2018/ 0:0:25 |1.45312|0.01388
12/9/2018/ 0:0:26 |1.65938|0.01050
12/9/2018/ 0:0:27 |1.56563|0.01237
12/9/2018/ 0:0:28 |1.89375|0.00937
12/9/2018/ 0:0:29 |1.42500|0.01350
12/9/2018/ 0:0:30 |1.71562|0.01125
12/9/2018/ 0:0:31 |1.48125|0.01388
12/9/2018/ 0:0:32 |1.70625|0.01087
12/9/2018/ 0:0:33 |1.50937|0.01163
12/9/2018/ 0:0:34 |1.86563|0.00937
12/9/2018/ 0:0:35 |1.56563|0.01237
12/9/2018/ 0:0:36 |1.84688|0.01388
12/9/2018/ 0:0:37 |1.67813|0.01463
12/9/2018/ 0:0:38 |1.66875|0.01087
12/9/2018/ 0:0:39 |1.87500|0.00937
12/9/2018/ 0:0:40 |1.27500|0.01050
12/9/2018/ 0:0:41 |1.66875|0.01087
12/9/2018/ 0:0:42 |1.47188|0.01312
12/9/2018/ 0:0:43 |1.49063|0.01388
12/9/2018/ 0:0:44 |1.48125|0.01050
12/9/2018/ 0:0:45 |1.65938|0.01200
12/9/2018/ 0:0:46 |1.51875|0.01125
12/9/2018/ 0:0:47 |1.90312|0.01163
12/9/2018/ 0:0:48 |1.38750|0.01312
12/9/2018/ 0:0:49 |2.03437|0.01163
12/9/2018/ 0:0:50 |1.48125|0.01425
12/9/2018/ 0:0:51 |1.99687|0.01012
12/9/2018/ 0:0:52 |1.27500|0.01763
12/9/2018/ 0:0:53 |1.85625|0.00900
12/9/2018/ 0:0:54 |1.41562|0.02213
12/9/2018/ 0:0:55 |1.97812|0.01463
12/9/2018/ 0:0:56 |1.57500|0.01350
12/9/2018/ 0:0:57 |1.75313|0.01125
12/9/2018/ 0:0:58 |1.46250|0.01425
12/9/2018/ 0:0:59 |1.88437|0.00900
12/9/2018/ 0:1:0 |1.63125|0.01163
12/9/2018/ 0:1:1 |1.72500|0.01312
12/9/2018/ 0:1:2 |1.88437|0.01125
12/9/2018/ 0:1:3 |1.44375|0.01050
12/9/2018/ 0:1:4 |1.65938|0.01237
12/9/2018/ 0:1:5 |1.48125|0.01688
12/9/2018/ 0:1:6 |1.93125|0.01200
